Spanish,English
no,no
el,he
lo,the
por,by
qué,what
me,I
una,a
te,tea
se,I know
con,with
mi,me
está,this
bien,good
su,his
tu,you
aquí,here
del,of the
como,as
le,you
más,plus
esto,this
ya,already
todo,everything
esta,this
hay,there is
ahora,now
estoy,I am
tengo,I have
nos,us
tú,you
nada,nothing
cuando,when
ha,he has
este,this
sé,I know
estás,these
así,So
puedo,may l
cómo,how
quiero,I want
sólo,alone
tiene,has
gracias,thanks
o,or
él,he
bueno,Okay
fue,was
ser,to be
hacer,do
todos,everyone
era,was
eres,you are
vez,time
creo,I believe
he,I
puede,can
sabes,you know
hola,Hello
sus,their
porque,why
dios,God
nunca,never
dónde,where
quieres,you want
casa,House
dos,two
tan,so
señor,Sir
tiempo,weather
verdad,truth
estaba,I was
